,sector,price,dcf_value,comps_value,fair_value,upside,wacc,beta,terminal_share,peer_count,dcf_vs_comps_gap,dcf_failed,confidence
AAPL,Technology,308.91,109.15629642096513,207.33199064778654,148.4265741116937,-0.5195151529193174,0.09905139664743375,1.0574766663037605,0.5459542167418141,13,-0.4735192765963515,False,high
MSFT,Technology,464.72,275.10163593963665,510.0768532816227,369.09172287643105,-0.20577611706741472,0.09835695172111279,1.0684502359335104,0.5529434479128463,13,-0.4606663012254978,False,high
GOOGL,Communication Services,356.13,433.50273358692203,,433.50273358692203,0.21725980284424806,0.10370779968214175,1.1566300330699593,0.54879599399337,1,,False,medium
AMZN,Consumer Cyclical,271.58,96.53489291826959,377.0349237291445,208.73490524261956,-0.2314054597443863,0.10789236893410589,1.3018420044014407,0.5184825968430944,3,-0.7439629942938161,False,low
META,Communication Services,556.71,605.1012330353528,,605.1012330353528,0.0869235922389624,0.10018498328582069,1.159619365072853,0.573508703594232,1,,False,medium
NVDA,Technology,200.75,415.92302524592213,104.07682944437602,291.1845469253037,0.4504834217947882,0.14139253929658788,1.8122037245973228,0.5383465565349165,13,2.996307607239445,False,medium
AVGO,Technology,389.28,197.83846959908004,148.68541440576735,178.17724752175496,-0.5422902601681181,0.11159821690502884,1.305019990214645,0.5732546961788307,13,0.3305842431805208,False,high
TSLA,Consumer Cyclical,311.21,21.95397601247446,55.66201511398768,35.43719165307975,-0.8861309352106945,0.12580423577249472,1.5463405412251334,0.46878022770148575,3,-0.6055842396737537,False,low
ORCL,Technology,129.8775,82.08274090108374,153.00148823107165,110.45023983307891,-0.14958141454001728,0.09675340236049028,1.484177456003322,0.568445998027456,5,-0.46351671575169473,False,high
ADBE,Technology,250.41,205.654367542324,300.50308287786356,243.59385367653982,-0.027219944584721767,0.10636198167546736,1.2633895617747564,0.5028897461445124,6,-0.3156330857813191,False,high
INTC,Technology,90.2,,81.42622081515748,81.42622081515748,-0.09727027921111442,0.1304984396179835,1.8259643407376243,,5,,True,low
CSCO,Technology,115.99,34.589946440435924,71.92734914305886,49.524907521485105,-0.5730243338090775,0.09401240794304337,1.0109650630734532,0.5547868387035946,5,-0.5190988288524474,False,medium
ACN,Technology,165.92,137.77588875404442,351.6751790627656,223.3356048775329,0.34604390596391577,0.09498079992932928,1.0578516832422937,0.5282392302680431,6,-0.6082297046916276,False,medium
IBM,Technology,223.785,87.7956865741108,274.7531229259981,162.57866111486572,-0.2735051003647888,0.0757568712413458,0.8037739699294856,0.6117762605648291,9,-0.6804560922215335,False,medium
TXN,Technology,275.74,93.15656639837891,123.85601124840608,105.43634433838977,-0.617624050415646,0.10572017380303014,1.2284890577435643,0.53663156418155,9,-0.24786398771115148,False,high
QCOM,Technology,147.61,31.145224716154132,203.89810531001422,100.24637695369817,-0.32087001589527697,0.11249184787391522,1.4403366396066835,0.4139470522689901,9,-0.8472510341927907,False,medium
NOW,Technology,111.2584,34.50413525719276,43.34569946543617,38.04076094049012,-0.65808639221407,0.09012051702241153,0.9519470176414526,0.6075193981226996,6,-0.20397788747863366,False,high
INTU,Technology,316.07,190.94988618701393,326.7944406300154,245.28770796421452,-0.2239449869832173,0.0910779886913778,0.9757087057632868,0.5633878444102737,6,-0.4156880826403031,False,high
JNJ,Healthcare,256.41,191.4780302471596,217.44439538076318,201.86457630060104,-0.2127273651550211,0.06645428641030947,0.49065203546697156,0.6851546860143151,13,-0.11941611595982649,False,high
UNH,Healthcare,414.22,146.31795063215756,653.3572834078894,349.13368374245033,-0.15712982535258968,0.07738009931381776,0.7489698213664118,0.5999225791176305,9,-0.776052162655985,False,medium
ABBV,Healthcare,250.875,45.29920177398574,172.12547983112367,96.02971299684091,-0.6172208749503103,0.065,0.5270871964733643,0.7096644329288564,5,-0.7368245432435114,False,medium
ABT,Healthcare,105.74,62.004617521452076,115.52677755783907,83.41348153600688,-0.2111454365802261,0.07424554158623993,0.7224502501605463,0.6579774650730522,12,-0.46328791616810094,False,high
DHR,Healthcare,195.074,36.155767165892705,153.32280854614743,83.02258371799459,-0.5744046683925352,0.07961960688583225,0.8461395942756165,0.6054710150537194,11,-0.7641853321842167,False,medium
AMGN,Healthcare,385.16,222.63953229887258,351.23351400937287,274.07712498307274,-0.28840709060371605,0.06824925125951194,0.6124386754969082,0.67181459797147,13,-0.3661210464872343,False,high
BMY,Healthcare,65.3,56.88158685458381,118.30720507483628,81.45183414268479,0.2473481491988483,0.065,0.48320896158618254,0.691573883749712,11,-0.5192043728984819,False,medium
